artist,artistID,song,withArtist,withID
,184910,"그때는 우리가 (feat. 선우정아),이별길에서 (feat. 선우정아),Vanilla Sky (Feat. 선우정아),네가 종일 내려 (with 선우정아),UTOPIA (Feat. 선우정아),Leave My Studio (Feat. 선우정아),모처럼 (With 선우정아),Oh Tomorrow (Feat. 선우정아),CLASSIC (Original Song by 선우정아),괜찮은 이유 (feat. 선우정아),아모네대츠카포네 (Feat. 선우정아),7도 (feat. 선우정아) (부제: 1도, 2도, 3도, 4도, 5도, 6도, 7도, 그 가운데 으뜸은 7도 이어라. 세상의 모든 것들이 화음을 이루는 그날까지 우리의 화음은 계속 된다),오늘만큼은 (With 선우정아),오늘만큼은 (With 선우정아),겨울 (Feat. 선우정아, 유라 (youra)),후회에게 (feat.선우정아),HOLIDAY : Commentary with 선우정아,숨고 싶어요 (With. 선우정아),In Seoul (Feat. 선우정아),Every Time You Call My Name (Feat. 선우정아, 안신애, 강이채),죽어도 좋아 (Feat. 선우정아, 넉살),So Nice (GMF2018 Ver.) Feat. 김나영, 마틴스미스, 선우정아, 위아영, 이요한(OFA),이혼 (Feat. 선우정아),Lost 2 (Feat. 선우정아),LIE (Feat. 선우정아),Lazy Noon (Feat. 선우정아),You n Me (Feat. 선우정아),Eyes open (Feat. 선우정아),LIE (Feat. 선우정아),사랑의 한가운데 (Feat. 선우정아) (Remastered),사랑의 한가운데 (Feat. 선우정아) (2016 Remastered),노원 (No One) (Feat. 선우정아),Heaven (Feat. 선우정아),피해망상 (Feat. 개코, 선우정아) (Paranoia),언제나 타인 (With 선우정아),거울 (Feat. 선우정아),Sexy Tokki (With 선우정아),전 여자친구에게 (Feat. 선우정아)","홍진호,MINO (송민호),THAMA,이상순,nov (노브),키드밀리 (Kid Milli),dress,윤종신,디어 재즈 오케스트라,디어 재즈 오케스트라,team positivezero,The BLANK Shop,더블V (송은이, 김숙),임헌일,임헌일,Cosmic Boy,구원찬,So!YoON! (황소윤),헤이즈 (Heize),에픽하이 (EPIK HIGH),마더바이브,Chaboom,Grand Mint Band (GMB),조정치,카더가든,SOWALL,염신혜,Holy Hoon,OKOK (오케이오케이),iamnot (아이엠낫),SOWALL,안녕의 온도,안녕의 온도,저스디스 (JUSTHIS),Hoonch,프라이머리,토이,정키,루싸이트 토끼,San E","2642063,742773,1629273,3237,946361,873162,907217,437,2756942,2756942,2901110,467100,2059115,560244,560244,1230183,1956062,1702261,751611,108356,1133993,483181,567072,258369,735506,502460,782285,1815766,1703036,860592,502460,857947,857947,786499,890044,35682,100014,570731,230109,402526"
,712452,불협화음 (Feat. AKMU) (Prod. GRAY),Mudd the student,2757382
,443420,"NG (Feat. pH-1, 박재범),주모 (Feat. 박재범),Don’t Call Me Lee (Feat. NSW yoon, 박재범),끄덕여(GOOD 2 GO) (feat. 박재범),알지도 못하면서 (with 박재범),낭만교향곡 (Feat. CHANGMO, 박재범),1,2,3 (Feat. 박재범),Cheese In The Trap (Feat. 박재범),Summer (Feat. 박재범),어두운 밤에만 (Feat. 박재범) (Prod. Vangdale),UP해 (Feat. 박재범, 우원재) (Prod. 코드 쿤스트),If You Love Me (feat. Jay Park),낮 밤 (feat. 박재범),B.T.W (Feat. 박재범) (Prod. Cha Cha Malone),Dedication (Feat. 박재범),어두운 밤에만 (Feat. 박재범) (Prod. Vangdale),Guk (feat. Jay Park) (Feat. Jay Park),Fake Laugh (Feat. 박재범) (prod. Awkwafina),Love The Way (Feat. 박재범 & 펀치넬로),MM feat. 박재범 (prod.sesåme),INTRO (Feat. 박재범),DNA (Feat. 박재범),RIDERS (Feat. Chin, UNEDUCATED KID, 박재범 & 타이거 JK),GREEN LIGHT (Feat. 박재범, pH-1) (Prod. WOOGIE),Checks (Feat. 수퍼비, 박재범 & The Quiett),너가 좋아하는 노래 (Feat. 박재범),God Bless (Feat. Paul Blanco & 박재범),ON AIR (Feat. 로꼬, 박재범 & GRAY),RHYME ON MY MIND (Feat. 박재범, 제이통),MUKKBANG! REMIX (feat. 박재범, BIBI, Dumbfoundead),Apollo 11 (Feat. 박재범),Don't Say No (Feat. 박재범),워크맨 (feat. 식케이, 박재범) (prod. GroovyRoom),TELÉFONO (feat. 김하온, Woodie Gochild, 박재범, 식케이) (prod. WOOGIE),EOY (Feat. 박재범),꽃 (flower) (Feat. 박재범, 우원재, 기리보이),(BONUS) WATER (Feat. Woodie Gochild, pH-1, HAON, 박재범) (Prod. GooseBumps),Dreams Come True (Feat. Golden, Jay Park),Peace Of Mind (Feat. Ted Park, Jay Park),Your Hands (Feat. 박재범) (Prod. GRAY),POP (Feat. 박재범, BOLA, Make A Movie, 먼치맨, 안경잽이, GV, COVA) (Prod. Neal),Drip (Feat. 박재범),WE (Feat. Jay Park),Off Key (Feat. 박재범),궁금해 (Feat. 박재범),Kick that (Feat. 박재범),WATER (Feat. Woodie Gochild, pH-1, 김하온 (HAON), Jay Park) (Prod. GooseBumps),WE (Feat. Jay Park),Til I Die (Feat. 박재범) (Prod. Mokyo),진흙탕 (Feat. 박재범)","TRADE L,보이비,행주,Yonge Jaundice (영 잔디스),코알라(KOALA),넉살,까데호,BIG Naughty (서동현),ELO,DeVita,키드밀리 (Kid Milli),아우릴고트 (OUREALGOAT),SINCE,NS 윤지,이영지,JAY B,JMIN,아우릴고트 (OUREALGOAT),플로우식 (Flowsik),Rekstizzy (렉스티지),유겸 (YUGYEOM),sokodomo,박현진,YLN Foreign (이정운),Way Ched (웨이체드),박현진,Lil Bemo (김다현),YLN Foreign (이정운),플루마 (PLUMA),ASH ISLAND,베이빌론 (Babylon),UNEDUCATED KID,릴보이 (lIlBOI),뱃사공,Lil Cherry,GOLDBUUDA,JAMIE (제이미),SURL (설),장성규,pH-1,정기고,코드 쿤스트 (CODE KUNST),식케이 (Sik-K),CLUB 33 (KIRIN & SUMIN),Parlay Pass,Phe R.E.D.S,MBA (Most Badass Asian),제시 (Jessi),Nudeboi Seo (누드보이 서),Parlay Pass,dress,sogumm,그루비룸 (GroovyRoom),릴러말즈 (Leellamarz),식케이 (Sik-K),Nudeboi Seo (누드보이 서),pH-1,지구인","2639052,340668,340669,2731751,2896629,672461,2140061,2744750,720968,2138651,873162,2631479,2138586,433746,2636153,644331,2863010,2631479,674757,2558569,751077,2561475,1459223,2750544,1271788,1459223,2928853,2750544,2636152,2112495,873322,2007637,623251,719436,1703261,2191798,646172,2297355,2755009,943511,304967,724086,786648,2558674,2619650,762567,828951,176393,2398183,2619650,907217,2239945,858851,967229,786648,2398183,943511,674725"
,602056,"자격지심 (Feat. ZICO),Rosario (Feat. CL, ZICO),DO MAIN 2020 (Feat. Lil Boi, Ugly Duck, ZICO, 테이크원) (Prod. GooseBumps),내 입맛 (Feat. ZICO),It's You (Feat. ZICO),버클 (Feat. 지코 (ZICO)) (Prod. 기리보이),Cereal (Feat. ZICO),OSAKA (Feat. ZICO),Keep Going (Feat. BewhY, nafla, ZICO) (Prod. By IOAH),요즘것들 (Feat. ZICO, DEAN),어디 (Feat. DEAN, ZICO),Red Sun (Feat. ZICO, Swings),Red Sun (Feat. ZICO, Swings),오늘밤 (TONIGHT) (Feat. ZICO),어디 (Feat. DEAN, ZICO),요즘것들 (Feat. ZICO, DEAN),아름다워 (Beautiful) (Feat. 지코 (ZICO)),풀어 (pour up) (Feat. ZICO),야유회 (Feat. 지코(ZICO)),풀어 (Pour Up) (feat. 지코 (ZICO),거북선 Remix (Feat. G2, B-Free, Okasian & ZICO),Traveler (Feat. 지코(ZICO)),Oasis (Feat. ZICO),계획적인 여자 (Feat. Gganmo & Zico Of Block B)","BE'O (비오),에픽하이 (EPIK HIGH),식케이 (Sik-K),dress,sogumm,샘김 (Sam Kim),나플라 (nafla),Crush,ELO,스윙스,행주,양홍원,Hash Swan,킬라그램 (KILLAGRAMZ),킬라그램 (KILLAGRAMZ),행주,행주,태양,킬라그램 (KILLAGRAMZ),행주,양홍원,Hash Swan,킬라그램 (KILLAGRAMZ),C JAMM,DEAN,다이나믹 듀오,DEAN,팔로알토 (Paloalto),f(x),Crush,기리보이","2758756,108356,786648,907217,2239945,757273,756738,674710,720968,236970,340669,907416,827434,1023874,1023874,340669,340669,247621,1023874,340669,907416,827434,1023874,729560,880630,108358,880630,170978,428501,674710,585492"
,25890,"여기 서있을게 (Feat. 김동희),이번만은 (Feat. 김동희),지금은 헤어져도 (Feat. 김동희),마음을 다한 사랑 (Feat. 김동희),지금은 헤어져도 (Feat.김동희)","에이브 (AEV),테이크 아웃,PS영준,노블레스,PS영준,드라마틱스","673335,592331,253706,160738,253706,429782"
,449940,,,
,1867989,,,
,2017,"그리움을 만지다 (Feat. 화요비),Sunday Of My Life (Feat. 화요비),It's Okay (Feat. 화요비),365일 (Feat. 화요비),좋은아침 (Feat. 박화요비),끝으로 (Feat. 박화요비),애써 (Duet. 박화요비)","아웃사이더,포이트리,언터쳐블,언터쳐블,허니 패밀리,리쌍,박효신","181785,624171,190493,190493,100073,103289,1191"
,160816,Sad Song (Feat. The One),리쌍,103289
,182430,"사랑은 이별을 데리고 오다 (Live ver.) Feat. 김태우, 데니안,꽃 (Feat. 김태우),등대 (Feat. 김태우),I Love U Oh Thank U (Feat. 김태우 Of God),친구란 이름으로 (Feat.김태우),인스턴트 (Feat. 김태우)","손호영(SHY),MC몽,이루펀트,MC몽,손호영(SHY),싸이 (PSY)","1580,11538,182366,11538,1580,3865"
